idn,author,gnd_modified
1108567193,"Bichow, Stefan",(DE-588)1038235944
1191930831,"Müller, Christoph",unknown
1079544593,"Knaudt, Till",(DE-588)1012533301
1114749400,"Knaudt, Till",(DE-588)1012533301
1131386752,"Cornils, Ingo",(DE-588)114063109
1071562142,"Schon, Jenny",(DE-588)108018318
1074466063,"Salomon, Katya",unknown
1063657946,"Dannenbaum, Uwe",(DE-588)139484876
1124954171,"Zürcher, Urs",(DE-588)129892262
1126131288,"Kämper, Heidrun",(DE-588)118165127
1070748382,"Timm, Uwe",(DE-588)118839276
1068030291,"Timm, Uwe",(DE-588)118839276
1070935557,"Kirchner, Matthias",(DE-588)1077515073
1071470949,"Muñoz, Susana M.",(DE-588)1079636161
1274333180,"Muñoz, Susana M.",(DE-588)1079636161
1097476456,"Schreiber, Niels",unknown
1184038384,"Schreiber, Niels",unknown
1077922973,"Pilzweger-Steiner, Stefanie",(DE-588)1079983643
1109541260,"Pilzweger-Steiner, Stefanie",(DE-588)1079983643
1211425509,"Jooss, Birgit",(DE-588)173003494
1069517968,"Hahn, Ulla",(DE-588)118994212
1211425576,"Jooss, Birgit",(DE-588)173003494
1243214147,"Lorenz, Robert",(DE-588)138316058
1051283019,"Korndörfer, Lutz",(DE-588)107999842X
1047913844,"Shi-Schienle, Weibing",(DE-588)1053336233
1054309124,"Göstemeyer, Albrecht",unknown
105118195X,"Wienhaus, Andrea",(DE-588)14080286X
1079549382,"Wienhaus, Andrea",(DE-588)14080286X
1079476601,"Dehnavi, Morvarid",(DE-588)140802746
1047582724,"Ellermann, Renata",unknown
1183691211,"Ellermann, Renata",unknown
1041598165,"Zürcher, Urs",(DE-588)129892262
106973053X,"Thöne, Matthias",unknown
1184038988,"Thöne, Matthias",unknown
1045580457,"Rückher, Johannes",(DE-588)1033537217
1049192583,"Jung, Stefanie",unknown
1247361268,"Jung, Stefanie",unknown
106081949X,"Pettenkofer, Andreas",(DE-588)123257026
1009107186,"Pettenkofer, Andreas",(DE-588)123257026
1251146171,"Linz, Max",unknown
1075456231,"Krahl, Hans-Jürgen",(DE-588)11898845X
