idn,titel,author,rela,gnd
1144285879,1968,"Koch, Claus",Verfasser,(DE-588)143681184; https://d-nb.info/gnd/143681184; (DE-101)143681184
1153327457,1968,"Koch, Claus",Verfasser,(DE-588)143681184; https://d-nb.info/gnd/143681184; (DE-101)143681184
1148319662,1968,"Siegfried, Detlef",Verfasser,(DE-588)11251653X; https://d-nb.info/gnd/11251653X; (DE-101)11251653X
115710892X,1968 in Deutschland,"Juchler, Ingo",Verfasser,(DE-588)112787061; https://d-nb.info/gnd/112787061; (DE-101)112787061
1136621202,1968 in Westfalen,"Großbölting, Thomas",Verfasser,(DE-588)115379428; https://d-nb.info/gnd/115379428; (DE-101)115379428
116214811X,1968 und die Folgen,unknown,unknown,unknown
1167338049,1968: Jahr der Revolte,"Beck, Ursel",Verfasser,(DE-588)1168274702; https://d-nb.info/gnd/1168274702; (DE-101)1168274702
1150317205,1968: Zeiten des Übergangs,"Deppe, Frank",Verfasser,(DE-588)115384324; https://d-nb.info/gnd/115384324; (DE-101)115384324
114906692X,50 Jahre '68,"Leggewie, Claus",Verfasser,(DE-588)120579936; https://d-nb.info/gnd/120579936; (DE-101)120579936
1145165516,68 - was bleibt?,"Mäder, Ueli",Verfasser,(DE-588)121117170; https://d-nb.info/gnd/121117170; (DE-101)121117170
1159881286,68 – was bleibt?,"Mäder, Ueli",Verfasser,(DE-588)121117170; https://d-nb.info/gnd/121117170; (DE-101)121117170
1160400962,Ansichten der Revolte,unknown,unknown,unknown
1148006540,Berlin - Stadt der Revolte,"Sontheimer, Michael",Verfasser,(DE-588)121417204; https://d-nb.info/gnd/121417204; (DE-101)121417204
115493568X,Berlin – Stadt der Revolte,"Sontheimer, Michael",Verfasser,(DE-588)121417204; https://d-nb.info/gnd/121417204; (DE-101)121417204
1181716497,Berlin,"Sontheimer, Michael",Verfasser,(DE-588)121417204; https://d-nb.info/gnd/121417204; (DE-101)121417204
1143615697,Das andere Achtundsechzig,"Hodenberg, Christina von",Verfasser,(DE-588)11804141X; https://d-nb.info/gnd/11804141X; (DE-101)11804141X
1159579059,Das andere Achtundsechzig,"Hodenberg, Christina",Verfasser,unknown
1181256836,Das andere Achtundsechzig,"Hodenberg, Christina von",Verfasser,(DE-588)11804141X; https://d-nb.info/gnd/11804141X; (DE-101)11804141X
1145059929,Der gläserne Sarg,"Jasper, Willi",Verfasser,(DE-588)120482495; https://d-nb.info/gnd/120482495; (DE-101)120482495
1148129634,Der Widerspruch,"Cardorff, Peter",Verfasser,(DE-588)1056510625; https://d-nb.info/gnd/1056510625; (DE-101)1056510625
1150318260,Die 68er,unknown,unknown,unknown
1156735629,Die 68er-Bewegung international,"Kraushaar, Wolfgang",Verfasser,(DE-588)120283344; https://d-nb.info/gnd/120283344; (DE-101)120283344
1170354742,Die 68er-Bewegung international,"Kraushaar, Wolfgang",Verfasser,(DE-588)120283344; https://d-nb.info/gnd/120283344; (DE-101)120283344
1170354920,Die 68er-Bewegung international,"Kraushaar, Wolfgang",Verfasser,(DE-588)120283344; https://d-nb.info/gnd/120283344; (DE-101)120283344
1170355072,Die 68er-Bewegung international,"Kraushaar, Wolfgang",Verfasser,(DE-588)120283344; https://d-nb.info/gnd/120283344; (DE-101)120283344
1170637752,Die 68er-Bewegung international,"Kraushaar, Wolfgang",Verfasser,(DE-588)120283344; https://d-nb.info/gnd/120283344; (DE-101)120283344
1149712147,Die anderen 68er,"Landmann, Valentin",Verfasser,(DE-588)108434125; https://d-nb.info/gnd/108434125; (DE-101)108434125
1171813511,Die Ideologiekritik Herbert Marcuses und die Folgen in der Studentenbewegung von 1968,"Peschke, Benjamin",Verfasser,unknown
1171813430,Die Ideologiekritik Herbert Marcuses und die Folgen in der Studentenbewegung von 1968,"Peschke, Benjamin",Verfasser,unknown
1160402981,"""Die Revolte der Jungen""",unknown,unknown,unknown
