idn,author,Geburtsdatum,Sterbedatum,Geburtsort,Sterbeort,Beruf oder Beschäftigung,gnd_modified
1145059929,"Jasper, Willi",1945-06-11,2023-02-03,Lavelsloh (Diepenau),,Germanist; Hochschullehrer; Publizist; Politologe,120482495
1156735629,"Kraushaar, Wolfgang",1948,,Niederurff,,Politologe; Soziologe; Historiker; Hochschullehrer; Publizist; Lektor <Verlag>,120283344
1170354742,"Kraushaar, Wolfgang",1948,,Niederurff,,Politologe; Soziologe; Historiker; Hochschullehrer; Publizist; Lektor <Verlag>,120283344
1170354920,"Kraushaar, Wolfgang",1948,,Niederurff,,Politologe; Soziologe; Historiker; Hochschullehrer; Publizist; Lektor <Verlag>,120283344
1170355072,"Kraushaar, Wolfgang",1948,,Niederurff,,Politologe; Soziologe; Historiker; Hochschullehrer; Publizist; Lektor <Verlag>,120283344
1170637752,"Kraushaar, Wolfgang",1948,,Niederurff,,Politologe; Soziologe; Historiker; Hochschullehrer; Publizist; Lektor <Verlag>,120283344
1149712147,"Landmann, Valentin",1950,,Sankt Gallen,,Jurist; Rechtsanwalt,108434125
1158704607,"Nassehi, Armin",1960,,Tübingen,,Soziologe; Hochschullehrer,12457713X
115031933X,"Nassehi, Armin",1960,,Tübingen,,Soziologe; Hochschullehrer,12457713X
1140246860,"Fichter, Tilman",1937,,Berlin,,Politologe,12200048X
1147877300,"Dutschke, Rudi",1940-03-07,1979-12-24,Schönefeld (Luckenwalde),Aarhus,Soziologe; Marxist; Schriftsteller; Journalist; Industriekaufmann,118528327
1148006621,"Heider, Ulrike",1947,,Frankfurt am Main,,Schriftstellerin; Journalistin,1046509918
117515931X,"Aly, Götz",1947-05-03,,Heidelberg,,Historiker; Politologe; Journalist; Hochschullehrer,115766065
117207285X,"Voit, Jochen",1972,,Nürnberg,,Historiker; Moderator,140805923
1151949841,"Voit, Jochen",1972,,Nürnberg,,Historiker; Moderator,140805923
1144390117,"Sarx, Tobias",1975,,Elmshorn,,Theologe; Evangelischer Theologe,13406691X
1161458441,"Sarx, Tobias",1975,,Elmshorn,,Theologe; Evangelischer Theologe,13406691X
1161139265,"Daphi, Priska",1984,,Hamburg,,,unknown
116113770X,"Wiggershaus, Rolf",1944,,Wuppertal,,Philosoph; Publizist,120664658
113079749X,"Fuhrer, Armin",1963,,Düsseldorf,,Journalist; Publizist; Redakteur; Korrespondent; Historiker; Autor,131668544
1131814045,"Juchler, Ingo",1962,,Mannheim,,Politologe; Hochschullehrer,112787061
1242637753,"Kim, Seongcheol",1991,,Seoul,,Politologe,unknown
1156532604,"Kasper, Sebastian",1984,,Ulm,,Historiker,1156195721
1140170597,"Göpfert, Claus-Jürgen",1955,,Wiesbaden,,Journalist,1076176607
1131095111,"Göpfert, Claus-Jürgen",1955,,Wiesbaden,,Journalist,1076176607
1193261007,"Bloch, Ernst",1885-07-08,1977-08-04,Ludwigshafen am Rhein,Tübingen,Philosoph; Hochschullehrer,118511742
1140934228,"Gilcher-Holtey, Ingrid",1952-11-13,,Witten,,Historikerin; Hochschullehrerin,11100618X
1131377974,"Stallmann, Martin",1982,,Stendal,,Historiker,1135691819
1108566553,"Auge, Oliver",1971,,Göppingen,,Historiker; Hochschullehrer,115444211
