idn,author,Geburtsdatum,Sterbedatum,Geburtsort,Sterbeort,Beruf oder Beschäftigung,gnd_modified
362638624,"Schneider, Johannes Ferdinand",1895-09-23,1970-05-22,Stadtoldendorf,Berlin,Evangelischer Theologe; Baptist; Hochschullehrer,1015479332
58060523X,"Lotz, Erich",1896-12-12,1973-11-03,Dortmund,Tübingen,Lehrer; Dozent; Autor,1043811850
362776466,"Spoerri, Theophil",1890,1974,La Chaux-de-Fonds,Caux (Schweiz),Romanist,118616358
362776474,"Spoerri, Theophil",1890,1974,La Chaux-de-Fonds,Caux (Schweiz),Romanist,118616358
362776490,"Spoerri, Theophil",1890,1974,La Chaux-de-Fonds,Caux (Schweiz),Romanist,118616358
362776482,"Spoerri, Theophil",1890,1974,La Chaux-de-Fonds,Caux (Schweiz),Romanist,118616358
580605248,"Lotz, Erich",1896-12-12,1973-11-03,Dortmund,Tübingen,Lehrer; Dozent; Autor,1043811850
580131955,"Heim, Karl",1874-01-20,1958-08-30,Güglingen-Frauenzimmern,Tübingen,Evangelischer Theologe; Hochschullehrer; Philosoph,118547909
362638640,"Schneider, Johannes Ferdinand",1895-09-23,1970-05-22,Stadtoldendorf,Berlin,Evangelischer Theologe; Baptist; Hochschullehrer,1015479332
580041115,"Grundmann, Walter",1906-10-21,1976-08-30,Chemnitz,Eisenach,Evangelischer Theologe; Hochschullehrer; Pfarrer,116895004
580041107,"Grundmann, Walter",1906-10-21,1976-08-30,Chemnitz,Eisenach,Evangelischer Theologe; Hochschullehrer; Pfarrer,116895004
362088233,"Quervain, Alfred de",1896-09-28,1968-10-30,La Neuveville,Bern,Evangelischer Theologe; Pfarrer,118597310
362791317,"Stauffer, Ethelbert",1902-05-08,1979-08-01,Friedelsheim,Erlangen,Neutestamentler,123703816
58041048X,"Köberle, Adolf",1898-07-03,1990-03-23,Bad Berneck i. Fichtelgebirge,München,Hochschullehrer; Evangelischer Theologe,118564161
578740109,"Althaus, Paul",1888-02-04,1966-05-18,Obershagen,Erlangen,Evangelischer Theologe; Neutestamentler; Hochschullehrer,118502271
362776458,"Spoerri, Theophil",1890,1974,La Chaux-de-Fonds,Caux (Schweiz),Romanist,118616358
580379485,"Kittel, Gerhard",1888-09-23,1948-07-11,Breslau,Tübingen,Evangelischer Theologe; Neutestamentler; Hochschullehrer; Nationalsozialist,118562592
579879771,"Frick, Heinrich",1893-11-02,1952-12-31,Darmstadt,Marburg,Evangelischer Theologe; Pfarrer; Religionswissenschaftler,118703129
579992667,"Gogarten, Friedrich",1887-01-13,1967-10-16,Dortmund,Göttingen,Theologe; Hochschullehrer,118540394
365677981,"Frick, Heinrich",1893-11-02,1952-12-31,Darmstadt,Marburg,Evangelischer Theologe; Pfarrer; Religionswissenschaftler,118703129
362088268,"Quervain, Alfred de",1896-09-28,1968-10-30,La Neuveville,Bern,Evangelischer Theologe; Pfarrer,118597310
580131939,"Heim, Karl",1874-01-20,1958-08-30,Güglingen-Frauenzimmern,Tübingen,Evangelischer Theologe; Hochschullehrer; Philosoph,118547909
362607036,"Schlatter, Adolf",1852-08-16,1938-05-19,Sankt Gallen,Tübingen,Theologe; Hochschullehrer; Evangelischer Theologe,118607928
578904357,"Blanke, Fritz",1900,1967,Kreuzlingen,Zürich,Kirchenhistoriker; Hochschullehrer; Evangelischer Theologe,12060714X
362788847,"Stange, Carl",1870-03-07,1959-12-05,Hamburg,Göttingen,Lutherischer Theologe,119148471
580132005,"Heim, Karl",1874-01-20,1958-08-30,Güglingen-Frauenzimmern,Tübingen,Evangelischer Theologe; Hochschullehrer; Philosoph,118547909
362656967,"Schrenk, Gottlob",1879-02-10,1965-04-13,Frankfurt am Main,Arosa,Theologe; Hochschullehrer,143604643
362770433,"Spemann, Franz",1877-01-30,1956-03-01,Stuttgart,Sindelfingen,,101370571
361969783,"Obendiek, Harmannus",1894-09-19,1954-09-14,Weener,,Evangelischer Theologe; Pfarrer,139131639
580410471,"Köberle, Adolf",1898-07-03,1990-03-23,Bad Berneck i. Fichtelgebirge,München,Hochschullehrer; Evangelischer Theologe,118564161
362613559,"Schlunk, Martin",1874-10-06,1958-02-18,Calicut,Tübingen,Hochschullehrer; Evangelischer Theologe,117521086
362785422,"Staerk, Willy",1866-12-15,1946-12-03,Berlin,,Theologe,117202959
362613575,"Schlunk, Martin",1874-10-06,1958-02-18,Calicut,Tübingen,Hochschullehrer; Evangelischer Theologe,117521086
36294508X,"Vermeil, Walter",1891-10-09,1949-06-01,Dresden,Braunschweig,Arzt; Chirurg,unknown
362785430,"Staerk, Willy",1866-12-15,1946-12-03,Berlin,,Theologe,117202959
580151255,"Hempel, Johannes",1891-07-30,1964-12-09,Bärenstein (Dippoldiswalde),Göttingen,Evangelischer Theologe; Alttestamentler; Religionswissenschaftler; Militärgeistlicher; Soldat; Hochschullehrer; Pfarrer,116699051
580131998,"Heim, Karl",1874-01-20,1958-08-30,Güglingen-Frauenzimmern,Tübingen,Evangelischer Theologe; Hochschullehrer; Philosoph,118547909
578975750,"Brunner, Emil",1889-12-23,1966-04-06,Winterthur,Zürich,Evangelischer Theologe,118516175
362776512,"Spoerri, Theophil",1890,1974,La Chaux-de-Fonds,Caux (Schweiz),Romanist,118616358
362770492,"Spemann, Franz",1877-01-30,1956-03-01,Stuttgart,Sindelfingen,,101370571
362632944,"Schmitz, Otto",1883-06-16,1957-10-20,Hückeswagen,Wuppertal,Evangelischer Theologe; Neutestamentler; Hochschullehrer; Direktor,116816163
580379493,"Kittel, Gerhard",1888-09-23,1948-07-11,Breslau,Tübingen,Evangelischer Theologe; Neutestamentler; Hochschullehrer; Nationalsozialist,118562592
362770506,"Spemann, Franz",1877-01-30,1956-03-01,Stuttgart,Sindelfingen,,101370571
362656940,"Schrenk, Gottlob",1879-02-10,1965-04-13,Frankfurt am Main,Arosa,Theologe; Hochschullehrer,143604643
362656924,"Schrenk, Gottlob",1879-02-10,1965-04-13,Frankfurt am Main,Arosa,Theologe; Hochschullehrer,143604643
362632995,"Schmitz, Otto",1883-06-16,1957-10-20,Hückeswagen,Wuppertal,Evangelischer Theologe; Neutestamentler; Hochschullehrer; Direktor,116816163
580274349,"Jasper, Gerhard",1891-07-30,1970-07-23,Georgsmarienhütte,Bielefeld-Bethel,Evangelischer Theologe,1055374116
362633002,"Schmitz, Otto",1883-06-16,1957-10-20,Hückeswagen,Wuppertal,Evangelischer Theologe; Neutestamentler; Hochschullehrer; Direktor,116816163
362632987,"Schmitz, Otto",1883-06-16,1957-10-20,Hückeswagen,Wuppertal,Evangelischer Theologe; Neutestamentler; Hochschullehrer; Direktor,116816163
362632936,"Schmitz, Otto",1883-06-16,1957-10-20,Hückeswagen,Wuppertal,Evangelischer Theologe; Neutestamentler; Hochschullehrer; Direktor,116816163
57966368X,"Dörrer, Anton",1886-06-13,1968-03-27,Innsbruck,Innsbruck,Archivar; Literarhistoriker; Volkskundler,11616977X
362607028,"Schlatter, Adolf",1852-08-16,1938-05-19,Sankt Gallen,Tübingen,Theologe; Hochschullehrer; Evangelischer Theologe,118607928
36277045X,"Spemann, Franz",1877-01-30,1956-03-01,Stuttgart,Sindelfingen,,101370571
36312957X,"Zander, Paul",1884-01-20,1955-12-31,Königsberg,Bad König,Chirurg,1055452753
363129588,"Zander, Paul",1884-01-20,1955-12-31,Königsberg,Bad König,Chirurg,1055452753
58072820X,"Michaelis, Georg",1857-09-08,1936-07-24,Haynau,Bad Saarow,Beamter; Protestant; Jurist; Autor,119059584
362607184,"Schlatter, Adolf",1852-08-16,1938-05-19,Sankt Gallen,Tübingen,Theologe; Hochschullehrer; Evangelischer Theologe,118607928
58013198X,"Heim, Karl",1874-01-20,1958-08-30,Güglingen-Frauenzimmern,Tübingen,Evangelischer Theologe; Hochschullehrer; Philosoph,118547909
36301943X,"Weber, Hermann",1892-08-08,1937-03-15,Lörrach,,Pfarrer,101278178X
368426696,"Schrenk, Gottlob",1879-02-10,1965-04-13,Frankfurt am Main,Arosa,Theologe; Hochschullehrer,143604643
580131912,"Heim, Karl",1874-01-20,1958-08-30,Güglingen-Frauenzimmern,Tübingen,Evangelischer Theologe; Hochschullehrer; Philosoph,118547909
362656975,"Schrenk, Gottlob",1879-02-10,1965-04-13,Frankfurt am Main,Arosa,Theologe; Hochschullehrer,143604643
362788774,"Stange, Erich",1888-03-23,1971-03-12,Schwepnitz,Kassel,Pfarrer; Evangelischer Theologe,118752677
362770468,"Spemann, Franz",1877-01-30,1956-03-01,Stuttgart,Sindelfingen,,101370571
580251721,"Humburg, Paul",1878-04-22,1945-05-21,Köln-Mülheim,Detmold,Evangelischer Theologe; Pfarrer,118722913
362632979,"Schmitz, Otto",1883-06-16,1957-10-20,Hückeswagen,Wuppertal,Evangelischer Theologe; Neutestamentler; Hochschullehrer; Direktor,116816163
580131890,"Heim, Karl",1874-01-20,1958-08-30,Güglingen-Frauenzimmern,Tübingen,Evangelischer Theologe; Hochschullehrer; Philosoph,118547909
362642532,"Schniewind, Julius",1883-05-28,1948-09-07,Elberfeld,Merseburg,Neutestamentler; Evangelischer Theologe,118758756
362632928,"Schmitz, Otto",1883-06-16,1957-10-20,Hückeswagen,Wuppertal,Evangelischer Theologe; Neutestamentler; Hochschullehrer; Direktor,116816163
580131963,"Heim, Karl",1874-01-20,1958-08-30,Güglingen-Frauenzimmern,Tübingen,Evangelischer Theologe; Hochschullehrer; Philosoph,118547909
580783138,"Müller, Karl Friedrich",1852-09-03,1940-02-10,Langenburg,Tübingen,Evangelischer Theologe; Kirchenhistoriker; Hochschullehrer,138219885
361523068,"Lips, Julius",1895-09-08,1950-01-21,Saarbrücken,Leipzig,Ethnologe; Soziologe,118728547
362770476,"Spemann, Franz",1877-01-30,1956-03-01,Stuttgart,Sindelfingen,,101370571
363129561,"Zander, Paul",1884-01-20,1955-12-31,Königsberg,Bad König,Chirurg,1055452753
362770425,"Spemann, Franz",1877-01-30,1956-03-01,Stuttgart,Sindelfingen,,101370571
580131882,"Heim, Karl",1874-01-20,1958-08-30,Güglingen-Frauenzimmern,Tübingen,Evangelischer Theologe; Hochschullehrer; Philosoph,118547909
362788685,"Stange, Erich",1888-03-23,1971-03-12,Schwepnitz,Kassel,Pfarrer; Evangelischer Theologe,118752677
36256003X,"Samuel, Otto",1887,1960,Köln,"Brooklyn, NY",Evangelischer Theologe; Pfarrer,141527412
362770441,"Spemann, Franz",1877-01-30,1956-03-01,Stuttgart,Sindelfingen,,101370571
579670090,"Dosfel, Lodewijk",1881-03-25,1925-12-27,Dendermonde,Dendermonde,Jurist; Schriftsteller,1053565909
361263341,"Niedermeyer, Gerhard",1879,,Berlin,,Literaturwissenschaftler,11700037X
1219876445,"Buber-Neumann, Margarete",1901-10-21,1989-11-06,Potsdam,Frankfurt am Main,Publizistin; Autorin,118516485
1161721533,"Wolfrum, Edgar",1960,,Sankt Georgen im Schwarzwald,,Historiker,122851595
1233275909,"Bührer, Werner",1950,,Brettental,,Politologe; Historiker,170414434
