"subject";"identifier";"type";"creator";"title";"volume";"edition";"publisher";"year";"format";"ISBN";"ISSN";"ISMN";"EAN/UPC";"binding/price";"language";"country";"date of publication";"description";"collective title";"links";"relation";"rights";"subject headings";"connected titles";"uniform title";"frequency";"wv number"
"";"URN:urn:nbn:de:101:2-2010020303, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010020303, IDN:999992686";"Online-Ressource";"";"[7]. Caspar Hauser und die Trägheit des Herzens : Roman";"[7]. Caspar Hauser und die Trägheit des Herzens : Roman";"30. - 34. Aufl. aller Ausg.";"";"1926";"464 S.";"";"";"";"";"";"ger";"";"";"";"";"";"http://d-nb.info/999990462";"";"";"Online-Ausg.: 2010";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011320, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011320, IDN:999499602";"Online-Ressource";"Hebbel, Friedrich [Verfasser]";"Maria Magdalene : ein bürgerliches Trauerspiel in drei Akten / von Friedrich Hebbel";"";"[Online-Ausg.]";"Berlin : Weltgeist-Bücher-Verl.-Ges.";"1926";"82 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010012612, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010012612, IDN:999792202";"Online-Ressource";"Lessing, Gotthold Ephraim [Verfasser]";"Minna von Barnhelm oder Das Soldatenglück : ein Lustspiel in fünf Aufzügen / von Gotthold Ephraim Lessing";"";"[Online-Ausg.]";"Berlin : Weltgeist-Bücher-Verl.-Ges.";"1926";"87 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010031068, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010031068, IDN:1000742032";"Online-Ressource";"Fouqué, Friedrich de La Motte- [Verfasser]";"Undine : eine Erzählung / von Friedrich Baron de la Motte Fouqué";"";"[Online-Ausg.]";"Berlin : Weltgeist-Bücher-Verl.-Ges.";"1926";"80 S. ; 18 cm";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: 2010. Online-Ressource";"";"";"10,O10"
"K Kinder- und Jugendliteratur";"URN:urn:nbn:de:101:2-2010011971, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011971, IDN:999625977";"Online-Ressource";"Reinheimer, Sophie [Verfasser]";"Von Sonne, Regen, Schnee und Wind und anderen guten Freunden / Sophie Reinheimer";"";"131. - 140. Tsd. / Schwarzweißzeichn. von Adolf Amberg. Die farbigen Vollbilder entwarf Franz Müller, [Online-Ausg.]";"Berlin ; Leipzig ; Wien : Schneider";"1926";"135 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010030926, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010030926, IDN:1000721310";"Online-Ressource";"Eichendorff, Joseph von [Verfasser]";"Aus dem Leben eines Taugenichts / von Joseph von Eichendorff";"";"[Online-Ausg.]";"Berlin : Propyläen-Verl.";"1925";"152 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"Das kleine Propyläen-Buch";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010020514, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010020514, IDN:100003979X";"Online-Ressource";"Meyer, Conrad Ferdinand [Verfasser]";"Der Schuß von der Kanzel / von Conrad Ferdinand Meyer";"";"52. - 61. Tsd., [Online-Ausg.]";"Leipzig : Haessel";"1925";"96 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011391, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011391, IDN:999489119";"Online-Ressource";"Meyer, Conrad Ferdinand [Verfasser]";"Die Hochzeit des Mönchs / von Conrad Ferdinand Meyer";"";"[Online-Ausg.]";"Leipzig : Haessel";"1925";"164 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010012692, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010012692, IDN:999783203";"Online-Ressource";"Kleist, Heinrich von [Verfasser]";"Die Marquise von O : Erzählung / Heinrich von Kleist";"";"[Online-Ausg.]";"Stuttgart : Hädecke";"1925";"76 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"Schöne Reihe";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010031002, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010031002, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010031002, IDN:1000738140";"Online-Ressource";"Uhland, Ludwig [Verfasser] ; Manz, Gustav [Herausgeber]";"Gedichte / Ludwig Uhland. [Für die Deutsche Bibliothek neu hrsg. von Gustav Manz]";"";"[Online-Ausg.]";"Berlin : Dt. Bibliothek";"1925";"352 S. ; 18 cm";"";"";"";"";"";"ger";"XA-DE";"";"";"Deutsche Bibliothek";"";"";"lizenzfrei";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011917, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011917, IDN:999636413";"Online-Ressource";"Storm, Theodor [Verfasser]";"Pole Poppenspäler : Erzählung / von Theodor Storm";"";"[Online-Ausg.]";"Berlin ; Leipzig : Gebr. Paetel";"1925";"89 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010020887, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010020887, IDN:1000061701";"Online-Ressource";"Grimmelshausen, Hans Jakob Christoffel von [Verfasser]";"Der abenteuerliche Simplizissimus / von H. J. Chr. von Grimmelshausen";"";"[Online-Ausg.]";"Leipzig : Hesse & Becker";"1924";"656 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"Romane der Weltliteratur";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010031015, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010031015, IDN:1000738701";"Online-Ressource";"Kleist, Heinrich von [Verfasser]";"Der zerbrochene Krug : ein Lustspiel / Heinrich von Kleist";"";"[Online-Ausg.]";"Wien ; Berlin : Tillgner";"1924";"74 S. ; 15 cm";"";"";"";"";"";"ger";"XA-AT";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010020541, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010020541, IDN:1000025942";"Online-Ressource";"Stifter, Adalbert [Verfasser]";"Die Narrenburg : Erzählung / Adalbert Stifter";"";"[Online-Ausg.]";"Leipzig : Reclam";"1924";"144 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"Reclams Universal-Bibliothek ; Nr. 4532/4533";"";"http://d-nb.info/997583932";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
